method,budget_k,snr_order,snr_label,snr_db,n_subjects,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_sem,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high
Reconstruction latent,64,5,15_dB,15.0,9,0.28646827913425127,0.047859014741351846,0.015953004913783948,0.2496805838341331,0.32325597443436943
Reconstruction latent,64,6,20_dB,20.0,9,0.28668663621908325,0.04886040782054401,0.016286802606848002,0.24912920205843778,0.32424407037972874
Reconstruction latent,64,7,noise_free,,9,0.28789082563255053,0.04896878897863645,0.016322929659545484,0.25025008233899193,0.3255315689261091
Semantic residual,16,0,-10_dB,-10.0,9,0.3820766883355978,0.06297739247983412,0.02099246415994471,0.3336679791746401,0.43048539749655557
Semantic residual,16,1,-5_dB,-5.0,9,0.46298682253002305,0.09533354665146038,0.031777848883820126,0.38970697159604073,0.5362666734640054
Semantic residual,16,2,0_dB,0.0,9,0.5387681973192036,0.12743868141413348,0.042479560471377825,0.4408101552105509,0.6367262394278562
Semantic residual,16,3,5_dB,5.0,9,0.5764972790984515,0.14039012189643063,0.04679670729881021,0.4685838785534562,0.6844106796434468
Semantic residual,16,4,10_dB,10.0,9,0.590115571399084,0.1464325108256065,0.04881083694186883,0.4775575795683582,0.7026735632298098
Semantic residual,16,5,15_dB,15.0,9,0.594463811644528,0.14785749744173188,0.049285832480577295,0.48081047813733696,0.708117145151719
Semantic residual,16,6,20_dB,20.0,9,0.5956841557611918,0.1485821888777331,0.049527396292577706,0.48147377510461215,0.7098945364177714
Semantic residual,16,7,noise_free,,9,0.5957932911017834,0.1495571881117265,0.04985239603724217,0.4808334596900672,0.7107531225134995
Semantic residual,32,0,-10_dB,-10.0,9,0.411026037706961,0.08157429321290127,0.027191431070967092,0.3483224852151918,0.4737295901987302
Semantic residual,32,1,-5_dB,-5.0,9,0.494572701420532,0.11716807914658812,0.03905602638219604,0.4045093430785449,0.5846360597625191
Semantic residual,32,2,0_dB,0.0,9,0.5615492732984868,0.14111263135064678,0.04703754378354893,0.453080502823776,0.6700180437731976
Semantic residual,32,3,5_dB,5.0,9,0.5912224730556661,0.15150553001370434,0.05050184333790145,0.4747650134830324,0.7076799326282998
Semantic residual,32,4,10_dB,10.0,9,0.6017754333714849,0.1556505331788302,0.05188351105961007,0.482131842319113,0.7214190244238567
Semantic residual,32,5,15_dB,15.0,9,0.605804927347025,0.15622910615344066,0.05207636871781355,0.48571660573733005,0.7258932489567198
Semantic residual,32,6,20_dB,20.0,9,0.6065322541349079,0.15676547370733834,0.052255157902446114,0.48603164392612047,0.7270328643436952
Semantic residual,32,7,noise_free,,9,0.6070647509886667,0.1570306463106174,0.0523435487702058,0.48636031107331124,0.7277691909040223
Semantic residual,64,0,-10_dB,-10.0,9,0.43889749391931304,0.09624869721545647,0.03208289907181882,0.36491419599036096,0.5128807918482652
Semantic residual,64,1,-5_dB,-5.0,9,0.522249959790543,0.13009821225054474,0.04336607075018158,0.42224762131306787,0.6222522982680182
Semantic residual,64,2,0_dB,0.0,9,0.5730967259361752,0.15211587214004366,0.05070529071334789,0.4561701158744656,0.6900233359978848
Semantic residual,64,3,5_dB,5.0,9,0.5945646666097795,0.15735801190327864,0.05245267063442621,0.4736085912242905,0.7155207419952684
Semantic residual,64,4,10_dB,10.0,9,0.6017734407484475,0.1603513022847781,0.05345043409492603,0.47851651869709033,0.7250303627998047
Semantic residual,64,5,15_dB,15.0,9,0.6035475253360084,0.16127401436926989,0.053758004789756626,0.4795813439905043,0.7275137066815125
Semantic residual,64,6,20_dB,20.0,9,0.6042307388999858,0.16209282238235675,0.054030940794118916,0.4796351659997761,0.7288263118001954
Semantic residual,64,7,noise_free,,9,0.6033287594832601,0.16388792974505417,0.054629309915018055,0.47735334491587855,0.7293041740506417
