holm_family,comparison,method_a,method_b,budget_k,snr_order,snr_label,n_subjects,mean_method_a,mean_method_b,mean_paired_difference,mean_paired_difference_pp,median_paired_difference,sd_paired_difference,sem_paired_difference,ci95_difference_low,ci95_difference_high,ci95_difference_low_pp,ci95_difference_high_pp,cohen_dz,subject_wins_method_a,subject_ties,subject_losses_method_a,shapiro_wilk_statistic,shapiro_wilk_pvalue,selected_test,test_statistic,pvalue_raw,pvalue_holm,significant_holm_0_05
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,32,2,0_dB,9,0.5325633300280832,0.27074396485479074,0.2618193651732924,26.18193651732924,0.24290722684199362,0.11284962066447993,0.03761654022149331,0.17507546787045503,0.3485632624761298,17.507546787045502,34.85632624761298,2.320073063884933,9,0,0,0.9727446907182467,0.9171296564264937,paired_t_test,6.9602191916548,0.00011721091004514254,0.0017872944551233926,True
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,32,3,5_dB,9,0.5714038392178652,0.27510494436295524,0.29629889485490996,29.629889485490995,0.2592832951722217,0.12369572816478444,0.04123190938826148,0.20121794130321552,0.3913798484066044,20.12179413032155,39.13798484066044,2.395385024616111,9,0,0,0.9643546402816806,0.842611749533164,paired_t_test,7.186155073848333,9.371065764300404e-05,0.0017872944551233926,True
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,32,4,10_dB,9,0.5902049940613001,0.27705806811533057,0.3131469259459695,31.31469259459695,0.27062005136765205,0.1314758919467509,0.043825297315583635,0.2120856091096816,0.4142082427822574,21.20856091096816,41.42082427822574,2.3817820994346035,9,0,0,0.965131147445899,0.8501862689841904,paired_t_test,7.14534629830381,9.753691047797891e-05,0.0017872944551233926,True
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,32,5,15_dB,9,0.5958322387753907,0.2788360702799125,0.3169961684954783,31.69961684954783,0.27948126141674423,0.1351789202200889,0.045059640073362967,0.21308845215549194,0.42090388483546465,21.308845215549194,42.09038848354646,2.3450118404509164,9,0,0,0.9702661465781846,0.8969960303173495,paired_t_test,7.03503552135275,0.00010877480673262146,0.0017872944551233926,True
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,32,6,20_dB,9,0.5987481816590225,0.2795337879935217,0.31921439366550086,31.921439366550086,0.28603234545094447,0.1358474639912726,0.045282487997090864,0.21479278909187632,0.4236359982391254,21.47927890918763,42.36359982391254,2.349800167679306,9,0,0,0.9738121629784793,0.9252219253056638,paired_t_test,7.04940050303792,0.00010723324830932458,0.0017872944551233926,True
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,32,7,noise_free,9,0.599805402525836,0.2809430756819476,0.31886232684388843,31.886232684388844,0.28696220277110707,0.13603640498858263,0.045345468329527544,0.2142954893632284,0.42342916432454847,21.42954893632284,42.34291643245485,2.343948495776922,9,0,0,0.9751190545693642,0.9346178663957038,paired_t_test,7.0318454873307665,0.00010912046144727746,0.0017872944551233926,True
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,64,0,-10_dB,9,0.407930077255644,0.26478186632428496,0.14314821093135907,14.314821093135906,0.1121740635463,0.07635219955899386,0.025450733186331287,0.08445871495970123,0.20183770690301692,8.445871495970122,20.183770690301692,1.8748406955945647,9,0,0,0.9318020409380916,0.49869173007131035,paired_t_test,5.624522086783695,0.0004958803265189002,0.0017872944551233926,True
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,64,1,-5_dB,9,0.4873120570344222,0.27303785539437764,0.21427420164004454,21.427420164004456,0.17098143148286715,0.10171094018587448,0.03390364672862483,0.1360922520853345,0.2924561511947546,13.609225208533449,29.24561511947546,2.1066976792119236,9,0,0,0.9485517364524301,0.6741674535184315,paired_t_test,6.32009303763577,0.0002278067522037694,0.0017872944551233926,True
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,64,2,0_dB,9,0.5494765148596921,0.2808420817504832,0.26863443310920904,26.863443310920903,0.22692687790617969,0.12397214722137254,0.04132404907379084,0.17334100506166747,0.3639278611567506,17.334100506166745,36.39278611567506,2.166893444456668,9,0,0,0.9651205164872971,0.8500833366490352,paired_t_test,6.500680333370004,0.00018796920395050873,0.0017872944551233926,True
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,64,3,5_dB,9,0.5823053338358692,0.2838926691453519,0.29841266469051736,29.841266469051735,0.2532990752630442,0.1312675736933693,0.04375585789778977,0.19751147543880831,0.3993138539422264,19.751147543880833,39.93138539422264,2.2733159172088135,9,0,0,0.968493978626596,0.8815510592952762,paired_t_test,6.81994775162644,0.00013505058678928036,0.0017872944551233926,True
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,64,4,10_dB,9,0.5972280433666178,0.2850196293533499,0.3122084140132679,31.220841401326787,0.2694345800507394,0.13568051593603642,0.04522683864534547,0.20791513707488965,0.41650169095164613,20.791513707488964,41.650169095164614,2.301055622167973,9,0,0,0.9783495039248493,0.955249453154537,paired_t_test,6.90316686650392,0.00012413125442576174,0.0017872944551233926,True
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,64,5,15_dB,9,0.6018311332391505,0.28646827913425127,0.3153628541048991,31.53628541048991,0.2721006784268579,0.13929672717374902,0.04643224239124968,0.20828991114387518,0.42243579706592305,20.82899111438752,42.24357970659231,2.2639645632990177,9,0,0,0.9801785366619232,0.9651858824058148,paired_t_test,6.791893689897052,0.00013896786639238016,0.0017872944551233926,True
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,64,6,20_dB,9,0.6034532880631093,0.28668663621908325,0.3167666518440261,31.67666518440261,0.27239372740572765,0.13947880660170872,0.04649293553390291,0.20955375024506528,0.4239795534429869,20.95537502450653,42.39795534429869,2.2710737176621745,9,0,0,0.9777052676705154,0.9514425215642773,paired_t_test,6.813221152986523,0.00013597858325261255,0.0017872944551233926,True
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,64,7,noise_free,9,0.6039162520489686,0.28789082563255053,0.31602542641641806,31.602542641641808,0.26840432447391055,0.14030311954356836,0.046767706514522785,0.20817890179991372,0.4238719510329224,20.817890179991373,42.38719510329224,2.252447610890666,9,0,0,0.9748421342782431,0.9326753184893486,paired_t_test,6.7573428326719975,0.00014396605297911964,0.0017872944551233926,True
