method,subject,budget_k,snr_order,snr_label,snr_db,balanced_accuracy,n_observations,n_directions,n_model_seeds,n_channel_realizations
Semantic residual,6,32,3,5_dB,5.0,0.4469977479636577,120,2,3,20
Semantic residual,6,32,4,10_dB,10.0,0.4505718010570796,120,2,3,20
Semantic residual,6,32,5,15_dB,15.0,0.4571566099862519,120,2,3,20
Semantic residual,6,32,6,20_dB,20.0,0.4557435324710751,120,2,3,20
Semantic residual,6,32,7,noise_free,,0.4566121258277651,120,2,3,20
Semantic residual,6,64,0,-10_dB,-10.0,0.349821661304769,120,2,3,20
Semantic residual,6,64,1,-5_dB,-5.0,0.4059115874730604,120,2,3,20
Semantic residual,6,64,2,0_dB,0.0,0.4280365550471238,120,2,3,20
Semantic residual,6,64,3,5_dB,5.0,0.4510589248754162,120,2,3,20
Semantic residual,6,64,4,10_dB,10.0,0.4574425869932029,120,2,3,20
Semantic residual,6,64,5,15_dB,15.0,0.4606714751581857,120,2,3,20
Semantic residual,6,64,6,20_dB,20.0,0.4634864714307277,120,2,3,20
Semantic residual,6,64,7,noise_free,,0.4597587652483145,120,2,3,20
Semantic residual,7,16,0,-10_dB,-10.0,0.4281850971025848,120,2,3,20
Semantic residual,7,16,1,-5_dB,-5.0,0.5274973930081449,120,2,3,20
Semantic residual,7,16,2,0_dB,0.0,0.6058998229061968,120,2,3,20
Semantic residual,7,16,3,5_dB,5.0,0.6364624231848791,120,2,3,20
Semantic residual,7,16,4,10_dB,10.0,0.6503587413744985,120,2,3,20
Semantic residual,7,16,5,15_dB,15.0,0.6513854421157217,120,2,3,20
Semantic residual,7,16,6,20_dB,20.0,0.6536306878133226,120,2,3,20
Semantic residual,7,16,7,noise_free,,0.6552255089210927,120,2,3,20
Semantic residual,7,32,0,-10_dB,-10.0,0.4819785832800406,120,2,3,20
Semantic residual,7,32,1,-5_dB,-5.0,0.5800890225314815,120,2,3,20
Semantic residual,7,32,2,0_dB,0.0,0.648226455322434,120,2,3,20
Semantic residual,7,32,3,5_dB,5.0,0.6802266447665734,120,2,3,20
Semantic residual,7,32,4,10_dB,10.0,0.6884219461872474,120,2,3,20
Semantic residual,7,32,5,15_dB,15.0,0.690592376971403,120,2,3,20
Semantic residual,7,32,6,20_dB,20.0,0.690569974532596,120,2,3,20
Semantic residual,7,32,7,noise_free,,0.6890226503456663,120,2,3,20
Semantic residual,7,64,0,-10_dB,-10.0,0.5235686956346328,120,2,3,20
Semantic residual,7,64,1,-5_dB,-5.0,0.6227293687184888,120,2,3,20
Semantic residual,7,64,2,0_dB,0.0,0.6648612773478817,120,2,3,20
Semantic residual,7,64,3,5_dB,5.0,0.675854587982539,120,2,3,20
Semantic residual,7,64,4,10_dB,10.0,0.6771125240140295,120,2,3,20
Semantic residual,7,64,5,15_dB,15.0,0.6773391137914871,120,2,3,20
Semantic residual,7,64,6,20_dB,20.0,0.676630234271405,120,2,3,20
Semantic residual,7,64,7,noise_free,,0.6743451090591689,120,2,3,20
Semantic residual,8,16,0,-10_dB,-10.0,0.3915560910011237,120,2,3,20
Semantic residual,8,16,1,-5_dB,-5.0,0.4795707181711617,120,2,3,20
Semantic residual,8,16,2,0_dB,0.0,0.5842858583033016,120,2,3,20
Semantic residual,8,16,3,5_dB,5.0,0.6409056472453112,120,2,3,20
Semantic residual,8,16,4,10_dB,10.0,0.6646256285884743,120,2,3,20
Semantic residual,8,16,5,15_dB,15.0,0.6694519776166395,120,2,3,20
Semantic residual,8,16,6,20_dB,20.0,0.6745577730227467,120,2,3,20
Semantic residual,8,16,7,noise_free,,0.6721848035986463,120,2,3,20
Semantic residual,8,32,0,-10_dB,-10.0,0.4378924363923764,120,2,3,20
Semantic residual,8,32,1,-5_dB,-5.0,0.543441899312014,120,2,3,20
Semantic residual,8,32,2,0_dB,0.0,0.6300931156594719,120,2,3,20
Semantic residual,8,32,3,5_dB,5.0,0.6775228230393772,120,2,3,20
Semantic residual,8,32,4,10_dB,10.0,0.6918836376674353,120,2,3,20
Semantic residual,8,32,5,15_dB,15.0,0.6953835227272728,120,2,3,20
Semantic residual,8,32,6,20_dB,20.0,0.6963757192085498,120,2,3,20
Semantic residual,8,32,7,noise_free,,0.6957891636150507,120,2,3,20
Semantic residual,8,64,0,-10_dB,-10.0,0.4641235020440982,120,2,3,20
Semantic residual,8,64,1,-5_dB,-5.0,0.5815691708686933,120,2,3,20
Semantic residual,8,64,2,0_dB,0.0,0.6557894269985662,120,2,3,20
Semantic residual,8,64,3,5_dB,5.0,0.6918815411952001,120,2,3,20
Semantic residual,8,64,4,10_dB,10.0,0.701326713728558,120,2,3,20
Semantic residual,8,64,5,15_dB,15.0,0.7047901287491282,120,2,3,20
Semantic residual,8,64,6,20_dB,20.0,0.7043917965016211,120,2,3,20
Semantic residual,8,64,7,noise_free,,0.7066273952762924,120,2,3,20
Semantic residual,9,16,0,-10_dB,-10.0,0.4027104701107847,120,2,3,20
Semantic residual,9,16,1,-5_dB,-5.0,0.4992886172113006,120,2,3,20
Semantic residual,9,16,2,0_dB,0.0,0.5865632939190613,120,2,3,20
Semantic residual,9,16,3,5_dB,5.0,0.6296823758621255,120,2,3,20
Semantic residual,9,16,4,10_dB,10.0,0.6344227092011868,120,2,3,20
Semantic residual,9,16,5,15_dB,15.0,0.6376859718621853,120,2,3,20
Semantic residual,9,16,6,20_dB,20.0,0.6369981782090984,120,2,3,20
Semantic residual,9,16,7,noise_free,,0.6343227531823566,120,2,3,20
Semantic residual,9,32,0,-10_dB,-10.0,0.4214479299023284,120,2,3,20
Semantic residual,9,32,1,-5_dB,-5.0,0.508210695027237,120,2,3,20
Semantic residual,9,32,2,0_dB,0.0,0.5867801201664747,120,2,3,20
Semantic residual,9,32,3,5_dB,5.0,0.6093854181169605,120,2,3,20
Semantic residual,9,32,4,10_dB,10.0,0.6143994020082111,120,2,3,20
Semantic residual,9,32,5,15_dB,15.0,0.6167288980559903,120,2,3,20
Semantic residual,9,32,6,20_dB,20.0,0.6155866563094042,120,2,3,20
Semantic residual,9,32,7,noise_free,,0.6138457382811631,120,2,3,20
Semantic residual,9,64,0,-10_dB,-10.0,0.4417404702536966,120,2,3,20
Semantic residual,9,64,1,-5_dB,-5.0,0.5252819433038455,120,2,3,20
Semantic residual,9,64,2,0_dB,0.0,0.5804282974662275,120,2,3,20
Semantic residual,9,64,3,5_dB,5.0,0.6038870067654957,120,2,3,20
Semantic residual,9,64,4,10_dB,10.0,0.6114273718702823,120,2,3,20
Semantic residual,9,64,5,15_dB,15.0,0.6093730210615061,120,2,3,20
Semantic residual,9,64,6,20_dB,20.0,0.6086468512380179,120,2,3,20
Semantic residual,9,64,7,noise_free,,0.6077023654337766,120,2,3,20
FBCSP + PCA,1,16,0,-10_dB,-10.0,0.4512956430668132,120,2,3,20
FBCSP + PCA,1,16,1,-5_dB,-5.0,0.5577681973616755,120,2,3,20
FBCSP + PCA,1,16,2,0_dB,0.0,0.6713452491109534,120,2,3,20
FBCSP + PCA,1,16,3,5_dB,5.0,0.7327561657635668,120,2,3,20
FBCSP + PCA,1,16,4,10_dB,10.0,0.7639625631189341,120,2,3,20
FBCSP + PCA,1,16,5,15_dB,15.0,0.7821299661184055,120,2,3,20
FBCSP + PCA,1,16,6,20_dB,20.0,0.7874990067668249,120,2,3,20
FBCSP + PCA,1,16,7,noise_free,,0.7912564515193189,120,2,3,20
FBCSP + PCA,1,32,0,-10_dB,-10.0,0.4858364471703809,120,2,3,20
FBCSP + PCA,1,32,1,-5_dB,-5.0,0.6151324453674711,120,2,3,20
FBCSP + PCA,1,32,2,0_dB,0.0,0.70682729548018,120,2,3,20
FBCSP + PCA,1,32,3,5_dB,5.0,0.7606042260399482,120,2,3,20
FBCSP + PCA,1,32,4,10_dB,10.0,0.7889601682395911,120,2,3,20
FBCSP + PCA,1,32,5,15_dB,15.0,0.8023668192416579,120,2,3,20
FBCSP + PCA,1,32,6,20_dB,20.0,0.8059347370358605,120,2,3,20
FBCSP + PCA,1,32,7,noise_free,,0.8085915086208872,120,2,3,20
FBCSP + PCA,1,64,0,-10_dB,-10.0,0.5466160514735549,120,2,3,20
FBCSP + PCA,1,64,1,-5_dB,-5.0,0.6563652153069964,120,2,3,20
FBCSP + PCA,1,64,2,0_dB,0.0,0.7489495952516941,120,2,3,20
FBCSP + PCA,1,64,3,5_dB,5.0,0.7949476333358867,120,2,3,20
FBCSP + PCA,1,64,4,10_dB,10.0,0.8176058990989833,120,2,3,20
FBCSP + PCA,1,64,5,15_dB,15.0,0.8258706018856498,120,2,3,20
FBCSP + PCA,1,64,6,20_dB,20.0,0.8274402340186181,120,2,3,20
FBCSP + PCA,1,64,7,noise_free,,0.8298390404776766,120,2,3,20
FBCSP + PCA,2,16,0,-10_dB,-10.0,0.3139207552613474,120,2,3,20
FBCSP + PCA,2,16,1,-5_dB,-5.0,0.3584992424566794,120,2,3,20
FBCSP + PCA,2,16,2,0_dB,0.0,0.4158886773623819,120,2,3,20
FBCSP + PCA,2,16,3,5_dB,5.0,0.4462852970857786,120,2,3,20
FBCSP + PCA,2,16,4,10_dB,10.0,0.469945135922477,120,2,3,20
FBCSP + PCA,2,16,5,15_dB,15.0,0.4825620095854608,120,2,3,20
FBCSP + PCA,2,16,6,20_dB,20.0,0.4857240269858068,120,2,3,20
