holm_family,comparison,method_a,method_b,budget_k,snr_order,snr_label,n_subjects,mean_method_a,mean_method_b,mean_paired_difference,mean_paired_difference_pp,median_paired_difference,sd_paired_difference,sem_paired_difference,ci95_difference_low,ci95_difference_high,ci95_difference_low_pp,ci95_difference_high_pp,cohen_dz,subject_wins_method_a,subject_ties,subject_losses_method_a,shapiro_wilk_statistic,shapiro_wilk_pvalue,selected_test,test_statistic,pvalue_raw,pvalue_holm,significant_holm_0_05
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,32,2,0_dB,9,0.5615492732984868,0.27074396485479074,0.290805308443696,29.0805308443696,0.24858015302278536,0.12916396507352182,0.043054655024507275,0.1915210959173934,0.3900895209699986,19.15210959173934,39.00895209699986,2.2514430265296195,9,0,0,0.956284045862755,0.7587417552244735,paired_t_test,6.7543290795888575,0.0001444113690551712,0.002063897059363568,True
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,32,3,5_dB,9,0.5912224730556661,0.27510494436295524,0.3161175286927109,31.611752869271093,0.2598296022303054,0.13623479310891445,0.045411597702971485,0.21139819660343068,0.4208368607819912,21.13981966034307,42.083686078199115,2.3203876299058726,9,0,0,0.9410415220898464,0.592904238219774,paired_t_test,6.961162889717619,0.00011710009184088768,0.002063897059363568,True
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,32,4,10_dB,9,0.6017754333714849,0.27705806811533057,0.3247173652561543,32.47173652561543,0.276715552992119,0.14000372541968456,0.04666790847322819,0.21710097533556055,0.43233375517674805,21.710097533556056,43.2333755176748,2.3193480336523886,9,0,0,0.9515306056390047,0.7068726860072665,paired_t_test,6.958044100957166,0.00011746677283237983,0.002063897059363568,True
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,32,5,15_dB,9,0.605804927347025,0.2788360702799125,0.32696885706711243,32.69688570671124,0.28325415555037536,0.1406684132319004,0.046889471077300134,0.2188415428653222,0.43509617126890265,21.88415428653222,43.50961712689026,2.3243942940344713,9,0,0,0.9570134057699926,0.7666022746935222,paired_t_test,6.973182882103413,0.00011569868956513987,0.002063897059363568,True
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,32,6,20_dB,9,0.6065322541349079,0.2795337879935217,0.32699846614138617,32.699846614138615,0.28733714401117005,0.14061092468071307,0.046870308226904356,0.21891534155185088,0.43508159073092145,21.891534155185088,43.508159073092145,2.3255551934097975,9,0,0,0.9614469374387284,0.8133392815665323,paired_t_test,6.976665580229392,0.00011529612140314092,0.002063897059363568,True
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,32,7,noise_free,9,0.6070647509886667,0.2809430756819476,0.32612167530671926,32.612167530671925,0.2870256539744217,0.1401629934071694,0.0467209978023898,0.21838286117354364,0.43386048943989486,21.838286117354365,43.386048943989486,2.3267316670338607,9,0,0,0.9616430186273506,0.8153536497813695,paired_t_test,6.980195001101582,0.00011488973415955303,0.002063897059363568,True
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,64,0,-10_dB,9,0.43889749391931304,0.26478186632428496,0.17411562759502808,17.411562759502807,0.130748212530542,0.09179700873218463,0.030599002910728212,0.10355420034976452,0.24467705484029162,10.355420034976452,24.46770548402916,1.896746201207992,9,0,0,0.9241297363865303,0.42752310062360327,paired_t_test,5.690238603623976,0.0004595257644837716,0.002063897059363568,True
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,64,1,-5_dB,9,0.522249959790543,0.27303785539437764,0.24921210439616537,24.921210439616537,0.19430123070815167,0.12066280166082709,0.04022093388694236,0.1564624645311029,0.34196174426122783,15.64624645311029,34.19617442612278,2.065359837215445,9,0,0,0.9325666947154556,0.506162843052443,paired_t_test,6.196079511646335,0.00026053900673489216,0.002063897059363568,True
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,64,2,0_dB,9,0.5730967259361752,0.2808420817504832,0.29225464418569197,29.225464418569196,0.2476549846810279,0.13938675173678153,0.046462250578927174,0.18511250221979375,0.3993967861515902,18.511250221979374,39.93967861515902,2.0967175183017877,9,0,0,0.9576192136000867,0.7731012672565662,paired_t_test,6.290152554905363,0.00023527165880894748,0.002063897059363568,True
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,64,3,5_dB,9,0.5945646666097795,0.2838926691453519,0.31067199746442764,31.067199746442764,0.2663926222199877,0.14226168082314605,0.04742056027438202,0.20131998937800433,0.42002400555085095,20.131998937800432,42.002400555085096,2.1838065996889386,9,0,0,0.9632925158460455,0.8320761644424282,paired_t_test,6.5514197990668155,0.0001782090378844646,0.002063897059363568,True
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,64,4,10_dB,9,0.6017734407484475,0.2850196293533499,0.31675381139509756,31.675381139509756,0.27577142863666904,0.14449621440736862,0.04816540480245621,0.20568418874685096,0.42782343404334416,20.568418874685097,42.78234340433442,2.1921253279486925,9,0,0,0.9720993734454962,0.9120635049763502,paired_t_test,6.576375983846078,0.00017361503038175404,0.002063897059363568,True
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,64,5,15_dB,9,0.6035475253360084,0.28646827913425127,0.31707924620175715,31.707924620175714,0.2781567654589683,0.1465842872092273,0.04886142906974244,0.20440458871494604,0.42975390368856825,20.440458871494606,42.97539036885682,2.1631189279460328,9,0,0,0.9738362200019963,0.925400048232683,paired_t_test,6.489356783838099,0.00019022708461976192,0.002063897059363568,True
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,64,6,20_dB,9,0.6042307388999858,0.28668663621908325,0.31754410268090244,31.754410268090243,0.27981421821075925,0.1479151644350133,0.0493050548116711,0.20384644239872085,0.43124176296308403,20.384644239872085,43.124176296308406,2.1467988349525573,9,0,0,0.9733556950532801,0.9218063420578947,paired_t_test,6.440396504857672,0.00020034043708534196,0.002063897059363568,True
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,64,7,noise_free,9,0.6033287594832601,0.28789082563255053,0.3154379338507096,31.543793385070963,0.27563203672401665,0.14926113309019617,0.049753711030065394,0.2007056704736257,0.43017019722779354,20.07056704736257,43.01701972277935,2.113329353195352,9,0,0,0.971424758828906,0.9066323399960851,paired_t_test,6.339988059586055,0.00022299111579909305,0.002063897059363568,True
